文書番号,品目コード（システム）,品名,大分類,中分類,小分類,商標,納入者,製造者,用途,成分1,含有量1,成分2,含有量2,成分3,含有量3,成分4,含有量4,成分5,含有量5,成分6,含有量6,成分7,含有量7,成分8,含有量8,運送経路,所要時間,運送会社,輸送距離,荷姿,月産能力,生産条件,品質保証期間,PRTR
0103043080,,リューロンペースト K-75Z,01,03,04,308,東ソー株式会社,東ソー株式会社（南陽事業所）,PVC壁紙用,ポリ塩化ビニル樹脂,>=99%,,,,,,,,,,,,,,,東ソー南陽事業所→船橋倉庫→土浦事業所,2~3日,東ソー物流,,タンクコンテナ（約10000kg）,,一般市販品,納入後6ヶ月,なし
0103043220,,ZEST PQ140,01,03,04,3220,新第一塩ビ株式会社,新第一塩ビ株式会社,壁紙（耐クラック）,ポリ塩化ビニル,>98%,,,,,,,,,,,,,,,愛媛工場→千葉SP→貴社,2日（在庫あり）,船/JR貨物/トラック,,紙袋20kg/FC400kg,99t/月,一般市販品,納入後6ヶ月,なし
0401010110,0401010110,アデカスタブ AC-238,04,01,01,011,ADEKAケミカルサプライ株式会社,株式会社ADEKA,UNVフィルム,亜リン酸エステル,50-60%,バリウム化合物,5-15%,ノニルフェノール,5-15%,高沸点芳香族ナフサ,1-10%,亜鉛化合物,1-10%,鉱油,1-5%,有機化合物,1-5%,ジエチレングリコールモノ-n-ブチルエーテル,1-5%,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,缶18kg,,一般市販品,,あり
0401010170,0401010170,アデカスタブ AC-288,04,01,01,0170,ADEKAケミカルサプライ株式会社,株式会社ADEKA,床材,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,缶17kg/コンテナ1000kg,,一般市販品,,あり
0801023690,0801023690,EP P-12N グレー,08,01,02,369,富士色素工業株式会社,富士色素工業株式会社,ロンシート用（PVC着色剤）,酸化チタンR型,64.00%,可塑剤DINP,17.70%,PVC P800,12.20%,カーボンブラック,1.21%,炭酸カルシウム,0.70%,黄色酸化鉄,2.68%,安定剤Ca-Zn,1.50%,シアニンググリーン,0.01%,葛飾区→常磐道→土浦,約1時間30分,自社便,,8kgポリ袋,20t/月,当社向け特殊品,納入後10ヵ月,なし
0804010030,0804010035,LBT-733 ホワイト,08,04,01,0035,日弘ビックス株式会社,日弘ビックス株式会社（静岡工場）,壁紙,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,静岡工場→土浦工場,約6時間,一般貨物,,1000Lタフテナ（1250kg）,400t/月,当社向け特殊品,納入後3ヶ月,なし
09020000090,0902000090,ハイドリック VS EX(CP),09,02,00,0090,大日精化工業株式会社,大日精化工業株式会社（坂東製造事業所）,壁紙用（水性グラビアインキ）,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,一斗缶15kg/コンテナ920kg,5-20t/月,一般市販品,納入後6ヶ月,なし
110300020,1103000020,オクサゾールS,11,03,00,0020,北村化学産業株式会社,オクサリスケミカルズ株式会社,壁紙,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,ステンレス容器,1000kg/月,一般市販品（輸入品）,,なし
1201510400,1201510520,TR2034N1,12,01,51,0420,アンドー株式会社,アンドー株式会社,床材,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエチレンフィルム包装,450000m/月,当社向け特殊品,,なし
1202010360,1202010360,ガラスクレネット GW33126,12,02,01,036,伊藤忠商事株式会社,倉敷紡績株式会社,防水シート用,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,岡山土地倉庫→土浦事業所,約2日,,,クラフト補強紙包装（5kg）,150000m/月,当社向け特殊品,製造後1年,なし
1203010160,1203010160,WK-680RIP(965),12,03,01,0160,三菱王子紙販売株式会社,KJ特殊紙株式会社（富士工場）,壁紙製品 裏打紙,セルロースパルプ,,ケイ酸塩鉱物,,二酸化チタン,,,,,,,,,,,,静岡県富士市→土浦事業所,6時間前後,株式会社タカキュー/英運輸送株式会社,,ポリエチレンフィルム（616kg/本）,1200t/月,当社向け特殊品,製造後3年,なし
1203030100,1203030080,セラフォーム TR150,12,03,03,0030,日本紙通商株式会社,リンテック株式会社（三島工場）,壁紙用裏打紙,,,,,,,,,,,,,,,,,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,約730kg（965mm x 5000m）,2000t/月,当社向け特殊品,納入後6ヵ月,なし
353,255875212001,プルーフセメントNR,,,,,コニシ株式会社,コニシ株式会社（栃木工場）,防水用接着剤,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,3kg缶/15kg缶,20t/月,当社向け特殊品,製造後1年,なし
508,255885900615,カネライトフォーム スーパーE-IIIb,88,59,006,,カネカケンテック株式会社,株式会社カネカ,防水用 断熱材,ポリスチレン,90-95%,イソブタン,2-4%,ジメチルエーテル,<1%,難燃剤,非開示,,,,,,,,,鹿島工場/大阪工場→翌日着,翌日～翌々日着,丸全昭和運輸/合通他,,平板（910x1820mm）,,一般市販品,製造後6ヶ月以内出荷,なし
562,255886300507,プラグビス TUL8x80,88,63,00507,0,峰岸株式会社,日章鋲螺株式会社/FRiULSiDER社,住宅ALC用 プラグ・ビス,ポリアミド6（ナイロン6）,プラグ,SUS(JIS G 4315),ビス,,,,,,,,,,,,,東ソー物流→土浦,4時間,ABC商会HD他,,100本/袋,10万本/月（各サイズ）,輸入品/当社向け特殊品,納入後10年,なし
